Frame,T1Left,T2Left,T3Left,T4Left,T5Left,T6Left,T7Left,T8Left
114,19.65671794,32.85172117,41.69217864,15.80043746,28.00918249,9.166397766,15.9736503,35.32175307
115,18.87332933,32.65342665,41.65504205,15.93089276,27.51880114,8.273040554,16.15073398,35.27457736
116,18.03278259,32.60532374,41.65504205,16.43406803,27.50899896,7.721098367,16.12372165,35.27457736
117,17.41636012,32.79463468,41.65504205,16.06263142,27.57668813,7.859974555,16.4424621,35.28288877
118,16.80083998,32.65914047,41.73897555,15.78137231,27.56030769,7.645589578,16.34787619,35.44516892
119,16.30763846,32.48622699,41.69699231,15.78564411,27.56844225,6.571356024,16.25370456,35.37077211
120,15.96550081,32.25196503,41.69699231,15.38696175,27.52968202,5.794308932,16.23275701,35.35316857
121,15.81392804,31.83465784,41.69699231,15.34042294,27.52888461,4.713656755,16.28627889,35.27204355
122,15.04566914,31.69392219,41.69699231,15.25113504,27.70545881,4.408377479,16.35372594,35.22684885
123,15.12259237,31.73476075,41.69699231,15.23858681,27.48966933,4.740194089,16.17857348,35.17820871
124,15.40010182,31.8150978,41.69699231,14.82223843,27.2432374,4.768228182,16.20501058,34.99036667
125,15.46249139,31.80923237,41.57599307,14.17696159,27.23892039,4.957502597,16.23343316,34.89141556
126,15.22592526,31.97997173,41.57599307,14.13520315,27.35059721,4.323258031,16.83319387,34.9587597
127,14.97128345,32.1499019,41.67863721,13.58528145,27.41072724,3.70785976,17.58729905,34.97956523
128,14.86227762,32.21757433,41.51624877,12.98439433,27.21190916,2.703124118,18.11848824,34.99081479
129,14.73566341,32.34997422,41.59533589,12.09198081,26.32720752,3.009446461,18.91482382,34.88112292
130,14.90326139,32.35234916,41.59533589,11.5520277,25.81654663,4.241607243,19.28750891,34.88112292
131,15.11305025,31.64594634,41.51624877,10.83639793,24.69758725,5.230831674,18.9839174,34.94732036
132,15.94623968,31.47279714,41.47880345,10.43419915,24.25582322,5.39027272,18.90014518,34.88112292
133,16.40044877,31.54470605,41.51624877,10.72542549,24.25892594,5.312921607,19.18676377,34.90395141
134,16.47961165,31.58722679,41.52047861,11.19453867,24.37087573,5.686689019,19.46779412,34.89249409
135,17.05758529,31.75180247,41.51624877,12.75522168,24.48282598,6.052146727,19.60423954,34.89249409
136,17.37489683,31.78363856,41.52047861,13.49634854,24.53880127,6.18540217,19.01536053,34.91549478
137,17.63110887,31.99815695,41.55788638,14.17143041,24.04755023,5.808903511,18.76267444,34.87235604
138,17.13975122,32.34502991,41.55788638,15.5613511,22.93417084,5.640453882,18.6677493,34.91549478
139,17.48420087,32.15029207,41.59955769,15.75701088,22.26019371,5.119331206,18.72117774,34.9587597
140,17.82542544,32.17588662,41.55788638,15.57444471,21.73838927,4.303628237,18.79140059,34.97028499
141,18.60498342,32.45536997,41.55373581,15.98787741,21.57228741,3.850992599,18.98540408,34.97028499
142,19.08228246,32.75693661,41.67442343,17.1562103,21.74423105,3.209635493,19.03711743,34.97028499
143,19.99066662,32.83577561,41.63696973,18.38387119,21.67923393,2.890923728,19.01923574,34.97028499
144,21.02029952,32.57164313,41.55788638,19.80754119,21.67554493,2.693827017,19.00150226,34.97028499
145,21.89148803,32.63781659,41.54973579,20.60685866,21.5672715,2.613466663,18.00972537,34.97028499
146,22.22304102,32.58843967,41.93775654,21.23662949,21.124548,2.318427053,17.90109002,34.9587597
147,22.41210673,32.27354384,42.48477563,22.29812835,21.07505521,2.564408704,18.04008514,34.97028499
148,22.22522819,31.46906036,42.56390508,23.15896233,21.36251371,2.53055567,17.99204269,34.97028499
149,22.2889849,30.68845985,42.83326483,22.25822131,21.31563332,2.354665157,17.12437514,34.97028499
150,22.07430216,30.94551082,42.93852722,21.73384457,21.60185029,2.426164051,17.11384188,34.97028499
151,21.91668588,31.75827099,42.97521146,21,21.77672886,2.472258886,17.20512854,34.92712413
152,21.87794652,32.52327462,43.01390584,20.7787168,21.94814252,2.605655388,17.23217456,34.91549478
153,22.24053237,32.88516261,43.56036951,20.61545517,22.05490168,3.080509049,17.20075347,34.83767156
154,22.18617948,33.50882964,43.95489907,20.28599517,22.02195995,2.933993865,16.84743969,34.86070843
155,22.19246863,33.26178444,44.31058167,20.1974541,22.18314026,2.516886966,16.62002262,34.87235604
156,22.41469518,33.44517663,44.50925657,20.29179144,22.44286898,2.362642588,16.38801513,34.87235604
157,22.730827,32.51329328,44.8274316,21.04661493,23.0121846,2.525593792,16.28290883,34.87235604
158,23.02138137,32.40740854,45.22928326,21.13226613,23.80395261,2.641514717,16.65847052,34.87235604
159,23.15733733,32.14931663,45.07092082,21.33129607,24.38727668,2.5941966,16.73163423,34.87235604
160,23.58936438,31.69679151,44.9933428,22.072029,25.13720175,3.401740731,16.93507036,34.88408967
161,24.02249879,31.57019556,45.67296969,22.62628701,25.45641986,3.472451584,17.99831637,34.88408967
162,24.27120368,31.54550136,45.83828339,22.84806863,25.78834962,3.498991855,18.3581803,34.95064039
163,24.91590978,31.30940919,45.83828339,21.05629787,25.85751109,3.498991855,18.67144472,34.97449951
164,25.85071852,31.03693593,45.48889341,20.16279981,25.55668461,3.450708913,18.79640647,34.89590922
165,26.49693718,31.25647914,45.25146521,19.77442389,25.24184082,2.87842179,19.63628641,34.9078146
166,26.92342326,31.3242296,44.97302089,17.98855636,25.02748953,2.545383272,19.99568593,34.89590922
167,28.01366067,31.59958481,44.53095211,16.88286232,24.99708527,2.195457128,20.33694569,34.86511609
168,28.82586061,31.58678002,44.01774551,16.37078373,24.93566249,3.001620895,20.36129505,34.86511609
169,29.65045322,31.60712629,44.05602252,16.07209756,24.83585795,3.64,20.16194435,34.80592593
170,30.24005185,32.39956938,44.08750934,15.40498828,24.74933922,3.591866367,20.33571204,34.98189612
171,29.3739618,32.79669056,43.95832353,14.96698874,24.46456638,3.61883075,20.33756249,35.07987685
172,29.98343756,32.62969641,43.79715571,16.12031761,24.14691169,3.709550916,20.4384657,35.17486557
173,30.66658377,33.17398595,43.91417739,16.70987828,24.3388782,3.72978498,20.53948393,35.30123805
174,31.42593069,33.8485143,43.2035917,17.69431638,24.52684929,3.339873051,20.51320589,35.16483425
175,32.28597912,34.06554153,43.20286583,18.89118313,24.73051556,3.631374395,20.66278587,34.76377885
176,33.17946835,34.7435662,43.24280694,19.71088633,24.84797682,4.548427421,20.8404284,34.56252676
177,34.25708172,35.03953607,43.01222896,20.29179144,25.27635543,5.241911102,20.79252173,34.12472933
178,34.92267939,34.82934395,43.01572847,20.67371046,25.67916011,5.78781064,20.81950163,34.24563692
179,35.18484947,34.47653997,43.72649833,21.44938899,25.97102262,5.521611359,20.87027666,34.18464029
180,35.12093028,35.26710876,43.84614045,21.74646638,26.15943363,5.465095059,20.81950163,33.92269046
181,34.76156866,34.91549478,43.85000251,21.58907131,26.190105,4.941028233,20.89392945,34.22278165
182,34.23194391,34.41809385,44.323036,21.75136888,26.33340084,4.134150457,20.89392945,33.87264052
183,33.61045171,33.47376286,44.33987208,22.22014797,26.38877822,3.691755138,20.81641352,33.70423166
184,33.85907453,32.74942051,44.11524181,22.85163697,26.35643436,3.772422034,20.86704579,33.73622386
185,33.2657912,32.40160194,44.21351612,22.86316164,26.6618817,3.963360191,20.89100247,34.4691259
186,32.59373191,32.03792253,43.99907563,23.22866229,26.56035783,4.121615217,20.78988215,34.55431435
187,32.21523813,31.80903519,43.23551799,23.41643867,26.76319622,4.303263878,20.8404284,35.51124216
188,32.24690844,31.5130764,42.84179343,23.52599923,26.95758802,5.348513064,20.86456594,36.6199325
189,31.84475341,31.17812259,42.46114836,23.67740661,26.97735702,6.228348096,20.81641352,36.52063088
190,31.12491889,30.60209143,41.91183814,23.61029335,27.07326356,6.821204586,20.81641352,36.20602469
191,30.1361699,30.04200366,41.843206,23.67740661,27.3025127,6.694752572,20.89392945,36.8565522
192,29.29956177,29.69505279,41.80661613,23.59787109,27.37964792,6.626955862,20.89100247,36.94820418
193,28.91867328,29.41253066,40.88207118,23.61029335,27.37964792,6.306405632,20.89100247,36.8320391
194,29.29956177,28.73149297,40.58311925,23.62284183,27.46724362,6.008724324,20.8404284,36.75383713
195,29.2474442,27.72412899,39.50128221,23.61029335,27.64296366,6.383508753,20.8404284,36.48936108
196,29.7222341,26.89055626,39.37469075,23.61029335,27.67646683,6.189963489,20.8404284,36.21364605
197,30.26322071,26.37338416,39.06348228,23.61029335,27.64455187,5.237122874,20.91508164,36.08959961
198,31.04522018,25.51843255,38.3967707,23.61029335,27.54425908,3.833035351,20.94160414,35.71311916
199,31.60008101,24.56160255,38.01018306,23.62284183,27.91856959,3.069801297,20.86283739,35.61569182
200,32.36921105,24.200878,37.40816766,23.61029335,27.96200622,3.001620895,20.91170773,34.94691654
201,32.83768567,22.74675608,37.39433283,23.61029335,27.97338735,2.882776439,21.01440573,35.14819825
202,33.58492328,21.12269225,37.52417887,23.55570623,28.01685093,2.730825516,21.07282307,35.33298244
203,33.93359727,19.37996491,37.80103702,23.55570623,27.75278869,0,21.20234251,34.82434643
204,34.13028872,17.34563276,37.49780239,23.7418867,27.87360271,0,21.33254565,34.93345354
205,34.50772528,15.29117916,37.1084413,24.17598544,27.74188227,0,21.46992091,34.65658079
206,32.85654151,13.63206103,36.53093374,23.97231737,27.74188227,2.87842179,21.15065956,34.32722348
207,32.30894266,11.61740212,35.96516893,24.10733332,27.89598279,3.775330449,21.30150492,33.65842254
208,32.29224353,9.547137791,35.90228962,23.62868223,27.95095705,4.307634153,21.19768289,33.20686676
209,31.93105072,7.527366605,36.09294491,23.04650047,27.96166976,4.592341451,21.07721272,32.35234916
210,31.612186,5.665971408,35.55294418,23.44962806,28.03833376,5.051187583,20.78143325,31.18752571
211,31.49316726,5.236524038,34.53207205,23.8258777,28.0604707,5.569959425,20.58127615,30.67946597
212,30.89195727,4.793809341,34.30186281,24.80958009,28.0717002,6.13704815,20.28475842,30.36258856
213,30.8346496,4.408377479,34.23707371,25.29514483,28.18141231,6.395288266,20.75024819,30.02289473
214,30.18275322,3.957025145,34.31849787,25.1569677,28.17022655,6.655524021,20.92107837,30.21613873
215,29.94638943,3.236877508,35.16162363,24.90546093,28.3137462,7.2133565,20.71439924,30.25264921
216,30.02273805,3.286870852,35.25016516,24.88013891,28.30239114,7.722722836,20.47364902,29.94623235
217,29.73937457,4.429667256,35.72870219,24.73989749,28.14929001,7.718457877,19.76807932,30.15983448
218,29.54088909,6.664,35.34349841,24.58801789,28.08661005,7.978182249,17.96753695,30.47434383
219,29.21386411,8.736179485,36.3502121,24.0618257,28.09861036,8.589202524,18.98069588,31.07914233
220,28.4493228,11.16775358,36.60164455,23.29337485,28.09308527,9.68557195,18.9955599,32.00192994
221,27.73628612,13.62964534,37.0571511,22.60305962,28.03850153,10.36726232,19.99537226,31.57054323
222,27.16692695,16.47904075,37.66573488,22.26103897,28.03497815,10.86760765,19.97638606,31.78926209
223,26.83714918,19.00942251,37.24037895,21.42020131,27.90019814,11.48218516,19.88086759,32.39308371
224,25.88387606,21.6112119,36.95002896,20.54955844,27.92935087,11.87252829,20.04925136,32.64891251
225,25.03707331,24.14892461,36.69282219,20.16007778,27.62770088,12.89751852,20.61302113,33.07443629
226,24.75206335,26.68621817,36.53715698,19.54496273,27.83290139,14.42953859,21.44185813,33.65898157
227,24.26254529,28.6344598,35.96054727,18.73089085,27.66932742,15.95803497,22.02566212,35.01791541
228,24.05009306,30.07632744,35.24300282,18.4008365,27.84979713,16.96587445,21.54253838,35.50616397
229,23.68396183,31.02809359,34.13676587,18.43837737,27.74058226,17.49935039,20.72847394,35.77050137
230,23.10792349,32.28306503,33.22461642,18.01164068,27.90441284,18.03460851,19.95871739,35.50894603
231,22.36931899,32.7993678,33.66955467,17.05510317,28.1107171,18.49458818,19.75625714,35.15890328
232,22.25744639,33.01065816,34.17395125,15.65297671,28.09861036,18.26398598,18.75205802,34.73986528
233,21.48335467,33.09846353,34.25305359,14.03020741,28.27473218,17.64888665,18.58069536,34.15697036
234,20.55589064,33.00913813,36.35991639,13.3199976,28.30549346,17.15502212,19.04,33.38957442
235,19.78346138,33.91792918,36.8541697,13.31740756,28.51274522,16.49150084,20.41428519,33.07912937
236,19.10388107,34.14264477,37.02552979,13.35244817,28.72035766,15.95931227,21.81277277,32.12101617
237,18.76935886,34.02648662,36.89176125,13.35244817,28.85304559,15.02178471,22.86233864,31.33103663
238,18.60768013,34.46585046,38.71204298,13.35244817,28.91948658,13.87014982,23.39359365,30.294292
239,19.06847283,33.98770978,38.21797943,13.40553915,28.95107929,12.95392697,23.68713946,30.13367233
240,19.78520498,34.32690373,38.2137123,13.3347042,29.04073828,12.08069402,23.90432664,29.94570874
241,20.76150438,34.27492798,37.45977256,13.35244817,29.17390396,11.72367724,24.89633033,30.14220483
242,21.53380227,34.2200325,37.19011396,13.38786555,29.30732059,11.81281474,26.03668796,30.79088592
243,22.55528178,34.09222785,37.52204771,13.40553915,29.30732059,12.66454579,26.37653503,31.39448104
244,23.18859858,34.05509137,37.36375227,13.38786555,29.31946302,12.68483441,27.15006829,32.0091317
245,23.78365556,33.67109146,37.16451297,13.3347042,29.38634349,14.08898123,27.89142951,32.94561434
246,24.42222856,33.57446363,37.12107326,13.31717207,29.42878591,14.71223491,28.40563775,33.23763939
247,24.95929486,33.50190347,37.36962703,13.3347042,29.49563113,14.78665128,28.95503272,33.29999399
248,25.24358009,32.9040389,37.17666193,13.40553915,29.45328505,14.83746393,29.40506623,33.28426319
249,25.30462724,32.16394503,37.25578613,13.40553915,29.53276689,14.79640389,29.53303235,33.33091586
250,25.68929427,31.16061617,37.37617209,13.40553915,29.62532322,14.77901431,29.27305929,33.40854118
251,25.99944369,30.57928188,37.37281579,13.35244817,29.62532322,14.76978104,28.41358548,33.29999399
252,26.78117667,30.77585963,37.24644155,13.3347042,29.53276689,15.07565349,27.53178934,33.31590563
253,27.35094119,30.48067191,37.40196358,13.40553915,29.54221603,15.07565349,26.75868457,33.3467187
254,28.16555059,30.13117455,37.39936427,13.14855673,29.50089355,14.91787867,25.64604359,33.50190347
255,28.99615975,29.87577694,37.27703422,13.69529204,29.4730825,14.94769976,24.54340156,33.89031909
256,29.71104791,30.83114062,37.31550241,13.97017623,29.44897255,14.48853229,23.96283122,34.12532667
257,30.48175218,32.25429857,37.31777142,13.93094972,29.62950421,14.13442662,24.36746552,34.37624668
258,31.6474823,32.71612789,37.44289989,13.87557509,29.80573368,14.31607991,24.11052019,34.81606066
259,32.73203593,33.54713174,37.36375227,14.08107723,29.73874187,14.30018965,23.7546297,34.89950372
260,33.40140644,34.41171521,37.40196358,14.87746215,29.47818936,14.50918826,23.14101329,34.98427167
261,33.70534818,33.86449232,37.43536125,15.68799796,29.42361718,14.56904335,22.2150666,35.07942987
262,33.64635469,33.57427682,37.39466828,16.02989607,29.41109124,14.43942381,21.54690511,35.38105527
263,33.63922377,33.68896888,37.30541623,16.25351162,29.29833087,14.07873858,21.52338709,35.81010628
264,33.48748495,33.53483681,37.42480461,16.63039723,29.41871404,14.1493949,21.23906589,36.24307713
265,33.43955024,33.90479754,37.34561865,16.53148076,29.4732421,14.17143041,20.97721431,37.04695226
266,33.03795926,35.00111998,37.34444301,17.19783614,29.4732421,13.86132923,20.9188298,37.1607578
267,32.6322432,35.84393728,37.38351294,18.37491333,29.59561589,13.15368359,21.02537134,37.07356492
268,32.7826315,36.34395686,37.42178788,18.71078919,29.62357656,13.069613,20.97781228,36.56697089
269,31.72749672,36.45290309,37.42011181,18.82274879,29.89466521,13.21706775,21.02537134,36.17877389
270,31.16745893,36.30527984,37.45968884,19.37996491,29.84043431,13.38446861,21.02537134,36.10936277
271,30.32957105,36.12191003,37.61883103,20.10782136,29.75840211,13.31540581,21.02537134,36.01779649
272,29.16842128,35.6974854,37.54189212,21.33666141,29.71801339,13.44618191,21.02537134,35.80366909
273,28.42997066,35.46869538,37.50098025,21.89857785,29.70413358,13.15046463,21.02537134,35.51698185
274,27.88805622,34.88624715,37.34696218,21.78464781,29.78620996,12.94484546,21.04356016,34.90399633
275,27.39224416,34.93111942,37.352,22.39509946,29.73099016,13.27211814,21.04356016,34.21673322
276,26.73024953,34.61166971,36.96038182,22.85163697,29.39146543,13.54517183,21.00746534,33.83929456
277,26.25205699,34.11949073,36.80444234,23.11681085,29.24235066,13.59981647,21.02537134,33.12687561
278,25.70833079,33.70144021,36.60532857,23.22116827,29.21488388,13.49053831,21.02537134,32.72992808
279,25.25376487,33.39187542,36.40865743,23.35495425,29.25564561,13.39980657,20.97781228,31.78215852
