Frame,T1Right,T2Right,T3Right,T4Right,T5Right,T6Right,T7Right,T8Right
78,22.12177208,22.65129047,16.70987828,34.77820927,6.598739274,23.04677262,10.82249805,27.37483691
79,21.93234835,22.65059823,17.28160363,34.94440384,5.993046638,22.67502168,10.89412319,27.31060922
80,21.93234835,22.61131327,17.45565903,35.34238928,5.171441579,23.17615326,10.53708119,27.31060922
81,21.88704676,22.57209888,17.63110887,36.06921701,3.833035351,23.15950397,10.43299688,27.2188229
82,21.88704676,22.09794343,17.54221788,36.1443019,3.304,23.30488292,10.45821553,27.52649226
83,21.88704676,22.21619589,18.34288527,36.43741462,2.771858582,23.44715386,10.52636157,27.68694595
84,21.88704676,22.18179722,18.20137841,36.6282811,2.21536453,23.7149256,10.53708119,28.16193175
85,21.88704676,22.2483567,18.59739681,36.66216971,2.550306648,24.47046219,10.13832018,28.23338733
86,21.88704676,21.9466422,19.03151576,36.60070207,0,24.81937437,9.499884631,28.28493422
87,21.88704676,21.7332674,19.09673899,37.66839906,2.995345723,25.30958396,9.244241451,28.85799051
88,21.88704676,21.3920733,19.11011795,36.15557938,3.187575881,25.25823493,9.315882352,29.26180856
89,21.8417948,20.95754642,19.22880506,33.77463948,3.213541349,24.83270102,8.803406613,29.54131371
90,21.8417948,20.29797231,19.07858443,30.6254472,3.205724879,24.46764263,8.154684543,30.48921016
91,21.88704676,20.06801236,18.8100824,28.60964313,3.007882976,24.11942819,7.415085165,31.22410556
92,21.88704676,19.75593966,18.67052094,26.07562295,3.138499004,23.51553291,6.91435608,31.5542484
93,21.92004818,19.39031841,18.05685244,23.55231114,3.05700507,22.71592217,6.489479486,31.85942322
94,21.92004818,18.93470887,16.54608111,23.0547314,3.215980099,22.72917139,6.397249409,32.10187484
95,21.92004818,19.03217486,15.7960704,23.86375461,3.148475186,22.43147788,6.195786956,32.02113102
96,21.93234835,19.1024857,16.21197582,25.35421259,3.209635493,21.76981543,6.015765953,32.25911096
97,21.8417948,19.0182464,17.31640979,26.79493206,3.199849996,21.04661493,5.906606471,32.50789147
98,21.90802739,18.92973957,17.05170115,28.41590315,2.968528255,20.82183623,6.184388086,32.47468922
99,21.82973092,19.20922445,17.33541485,29.50227544,2.986958319,19.78354063,6.166360353,32.51637963
100,21.87486448,19.4649749,17.49495927,30.35530609,3.055979058,19.40098967,6.060949101,32.52057466
101,21.87486448,19.92734644,17.59336057,30.55594214,3.258603382,19.69178509,6.148024723,32.34575706
102,21.87486448,20.4872003,17.96561694,30.464,3.506154589,20.68705489,6.260990337,32.28874727
103,21.80881877,20.60807609,18.91482382,31.01126092,3.665755038,21.89084338,6.464301973,32.27563291
104,21.77593681,20.84321204,19.08942995,32.17447336,3.953853816,21.99488668,6.822353846,32.1851444
